accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
10,"[4, 5, 8, 77, 21, 85, 88, 89, 90, 91, 92, 93, 30, 95, 96, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50, 51, 54, 57]",Real Bed,4,TRUE,2,64,9,9,9,0.977999985,1,36,Entire home/apt,92,https://www.airbnb.com/rooms/9395041?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 35, 4, 36, 5, 37, 39, 8, 40, 41, 43, 44, 45, 46, 47, 21, 25, 28, 30, 31]",Real Bed,5,TRUE,4,64,10,10,10,1,151,88,Entire home/apt,95,https://www.airbnb.com/rooms/7584503?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 34, 3, 35, 4, 36, 5, 39, 8, 40, 41, 43, 44, 45, 46, 47, 21, 25, 28, 30, 31]",Real Bed,5,TRUE,4,78,9,9,9,1,111,103,Entire home/apt,87,https://www.airbnb.com/rooms/7793323?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[32, 33, 34, 3, 35, 4, 36, 5, 37, 39, 8, 40, 41, 12, 46, 47, 51, 53, 30, 31]",Real Bed,4,TRUE,2,37,9,9,10,1,1,46,Private room,88,https://www.airbnb.com/rooms/9718744?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 35, 4, 36, 5, 38, 39, 8, 40, 41, 43, 44, 45, 21, 25, 30, 31]",Real Bed,5,TRUE,3,43,9,8,9,1,1,40,Entire home/apt,84,https://www.airbnb.com/rooms/13868350?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
